#country+name,#country+code,#adm1+name,#adm1+code,#adm2+name,#adm2+code,#population+y2018,#inneed,#affected
Mali,ML,Kidal,ML08,Abeibara,ML0801,13841,5842,13841
Mali,ML,Gao,ML07,Ansongo,ML0701,176518,138801,176518
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,312007,121683,312007
Mali,ML,Koulikouro,ML02,Banamba,ML0201,255360,71969,255360
Mali,ML,Mopti,ML05,Bandiagara,ML0501,418118,114009,0
Mali,ML,Mopti,ML05,Bankass,ML0502,354060,58470,0
Mali,ML,Segou,ML04,Baroueli,ML0401,271029,47442,0
Mali,ML,Segou,ML04,Bla,ML0402,378618,58969,0
Mali,ML,Sikasso,ML03,Bougouni,ML0301,612437,107233,0
Mali,ML,Gao,ML07,Bourem,ML0702,155285,94594,0
Mali,ML,Kayes,ML01,Diema,ML0102,282505,85288,282505
Mali,ML,Koulikouro,ML02,Dioila,ML0202,653015,101643,0
Mali,ML,Tombouctou,ML06,Dire,ML0601,146604,48457,0
Mali,ML,Bamako,ML09,Bamako,ML0901,2421636,450982,2421636
Mali,ML,Mopti,ML05,Djenne,ML0503,278417,108597,278417
Mali,ML,Mopti,ML05,Douentza,ML0504,330117,158195,330117
Mali,ML,Gao,ML07,Gao,ML0703,320400,187105,320400
Mali,ML,Tombouctou,ML06,Goundam,ML0602,202306,116528,202306
Mali,ML,Tombouctou,ML06,Gourma-Rharous,ML0603,148284,170329,148284
Mali,ML,Sikasso,ML03,Kadiolo,ML0302,326313,56923,0
Mali,ML,Koulikouro,ML02,Kangaba,ML0203,134164,23480,0
Mali,ML,Koulikouro,ML02,Kati,ML0204,1279305,323204,0
Mali,ML,Kayes,ML01,Kayes,ML0103,686677,140004,0
Mali,ML,Kayes,ML01,Kenieba,ML0104,263479,25600,0
Mali,ML,Kidal,ML08,Kidal,ML0802,45028,9130,45028
Mali,ML,Kayes,ML01,Kita,ML0105,577601,67431,0
Mali,ML,Koulikouro,ML02,Kolokani,ML0205,310394,141979,0
Mali,ML,Sikasso,ML03,Kolondieba,ML0303,268817,47113,0
Mali,ML,Mopti,ML05,Koro,ML0505,484346,136588,0
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,281711,46519,0
Mali,ML,Sikasso,ML03,Koutiala,ML0304,775028,113118,0
Mali,ML,Segou,ML04,Macina,ML0403,315263,58275,0
Mali,ML,Gao,ML07,Menaka,ML0704,73153,114673,73153
Mali,ML,Mopti,ML05,Mopti,ML0506,493061,148552,493061
Mali,ML,Koulikouro,ML02,Nara,ML0207,323197,69146,0
Mali,ML,Tombouctou,ML06,Niafunke,ML0604,234682,141838,234682
Mali,ML,Segou,ML04,Niono,ML0404,487743,90068,0
Mali,ML,Kayes,ML01,Nioro,ML0106,305650,83275,305650
Mali,ML,Segou,ML04,San,ML0405,445928,78018,0
Mali,ML,Segou,ML04,Segou,ML0406,930188,171836,0
Mali,ML,Sikasso,ML03,Sikasso,ML0305,981625,171879,0
Mali,ML,Mopti,ML05,Tenenkou,ML0507,217628,148145,217628
Mali,ML,Kidal,ML08,Tessalit,ML0803,21431,10017,21431
Mali,ML,Kidal,ML08,Tin-Essako,ML0804,10808,4268,10808
Mali,ML,Tombouctou,ML06,Tombouctou,ML0605,170606,163252,170606
Mali,ML,Segou,ML04,Tominian,ML0407,295832,77569,0
Mali,ML,Sikasso,ML03,Yanfolila,ML0306,284253,33163,0
Mali,ML,Kayes,ML01,Yelimane,ML0107,235415,52744,235415
Mali,ML,Sikasso,ML03,Yorosso,ML0307,282712,32990,0
Mali,ML,Mopti,ML05,Youwarou,ML0508,145080,60357,145080
